survived,pclass,sex,age,sibsp,parch,fare,class,who,adult_male,embark_town,alive,alone,fare_capped,sex_encoded,embarked_c,embarked_q,embarked_s,family_size,is_alone
0,3,male,25.0,0,0,8.05,third,man,True,southampton,no,True,8.05,0,False,False,True,1,1
0,1,male,71.0,0,0,34.6542,first,man,True,cherbourg,no,True,34.6542,0,True,False,False,1,1
1,1,male,23.0,0,1,63.3583,first,man,True,cherbourg,yes,False,63.3583,0,True,False,False,2,0
1,2,female,34.0,0,1,23.0,second,woman,False,southampton,yes,False,23.0,1,False,False,True,2,0
0,2,male,34.0,1,0,26.0,second,man,True,southampton,no,False,26.0,0,False,False,True,2,0
0,3,female,28.0,0,0,7.8958,third,woman,False,southampton,no,True,7.8958,1,False,False,True,1,1
0,3,male,25.0,0,0,7.8958,third,man,True,southampton,no,True,7.8958,0,False,False,True,1,1
0,1,male,21.0,0,1,77.2875,first,man,True,southampton,no,False,65.6344,0,False,False,True,2,0
0,3,male,33.0,0,0,8.6542,third,man,True,southampton,no,True,8.6542,0,False,False,True,1,1
0,3,male,37.0,2,0,7.925,third,man,True,southampton,no,False,7.925,0,False,False,True,3,0
0,3,male,28.0,0,0,7.8958,third,man,True,southampton,no,True,7.8958,0,False,False,True,1,1
1,3,female,21.0,0,0,7.65,third,woman,False,southampton,yes,True,7.65,1,False,False,True,1,1
1,3,male,25.0,0,0,7.775,third,man,True,southampton,yes,True,7.775,0,False,False,True,1,1
0,3,male,38.0,0,0,7.8958,third,man,True,southampton,no,True,7.8958,0,False,False,True,1,1
1,3,female,21.5,1,0,24.15,third,woman,False,queenstown,yes,False,24.15,1,False,True,False,2,0
0,1,male,47.0,0,0,52.0,first,man,True,southampton,no,True,52.0,0,False,False,True,1,1
0,3,female,14.5,1,0,14.4542,third,child,False,cherbourg,no,False,14.4542,1,True,False,False,2,0
0,3,male,22.0,0,0,8.05,third,man,True,southampton,no,True,8.05,0,False,False,True,1,1
0,3,female,20.0,1,0,9.825,third,woman,False,southampton,no,False,9.825,1,False,False,True,2,0
0,3,female,17.0,0,0,14.4583,third,woman,False,cherbourg,no,True,14.4583,1,True,False,False,1,1
0,3,male,21.0,0,0,7.925,third,man,True,southampton,no,True,7.925,0,False,False,True,1,1
0,3,male,70.5,0,0,7.75,third,man,True,queenstown,no,True,7.75,0,False,True,False,1,1
0,2,male,29.0,1,0,21.0,second,man,True,southampton,no,False,21.0,0,False,False,True,2,0
0,1,male,24.0,0,1,247.5208,first,man,True,cherbourg,no,False,65.6344,0,True,False,False,2,0
0,3,female,2.0,4,2,31.275,third,child,False,southampton,no,False,31.275,1,False,False,True,7,0
0,2,male,21.0,2,0,73.5,second,man,True,southampton,no,False,65.6344,0,False,False,True,3,0
0,3,male,25.0,0,0,8.05,third,man,True,southampton,no,True,8.05,0,False,False,True,1,1
0,2,male,32.5,1,0,30.0708,second,man,True,cherbourg,no,False,30.0708,0,True,False,False,2,0
1,2,female,32.5,0,0,13.0,second,woman,False,southampton,yes,True,13.0,1,False,False,True,1,1
0,1,male,54.0,0,1,77.2875,first,man,True,southampton,no,False,65.6344,0,False,False,True,2,0
1,3,male,12.0,1,0,11.2417,third,child,False,cherbourg,yes,False,11.2417,0,True,False,False,2,0
0,3,male,25.0,0,0,7.75,third,man,True,queenstown,no,True,7.75,0,False,True,False,1,1
1,3,male,24.0,0,0,7.1417,third,man,True,southampton,yes,True,7.1417,0,False,False,True,1,1
1,3,female,21.5,1,1,22.3583,third,woman,False,cherbourg,yes,False,22.3583,1,True,False,False,3,0
0,3,male,45.0,0,0,6.975,third,man,True,southampton,no,True,6.975,0,False,False,True,1,1
0,3,male,33.0,0,0,7.8958,third,man,True,cherbourg,no,True,7.8958,0,True,False,False,1,1
0,3,male,20.0,0,0,7.05,third,man,True,southampton,no,True,7.05,0,False,False,True,1,1
0,3,female,47.0,1,0,14.5,third,woman,False,southampton,no,False,14.5,1,False,False,True,2,0
1,2,female,29.0,1,0,26.0,second,woman,False,southampton,yes,False,26.0,1,False,False,True,2,0
0,2,male,25.0,0,0,13.0,second,man,True,southampton,no,True,13.0,0,False,False,True,1,1
0,2,male,23.0,0,0,15.0458,second,man,True,cherbourg,no,True,15.0458,0,True,False,False,1,1
1,1,female,19.0,0,2,26.2833,first,woman,False,southampton,yes,False,26.2833,1,False,False,True,3,0
0,1,male,37.0,1,0,53.1,first,man,True,southampton,no,False,53.1,0,False,False,True,2,0
0,3,male,16.0,0,0,9.2167,third,man,True,southampton,no,True,9.2167,0,False,False,True,1,1
0,1,male,24.0,0,0,79.2,first,man,True,cherbourg,no,True,65.6344,0,True,False,False,1,1
0,3,female,21.5,0,2,15.2458,third,woman,False,cherbourg,no,False,15.2458,1,True,False,False,3,0
1,3,female,22.0,0,0,7.75,third,woman,False,southampton,yes,True,7.75,1,False,False,True,1,1
1,3,female,24.0,1,0,15.85,third,woman,False,southampton,yes,False,15.85,1,False,False,True,2,0
0,3,male,19.0,0,0,6.75,third,man,True,queenstown,no,True,6.75,0,False,True,False,1,1
0,2,male,18.0,0,0,11.5,second,man,True,southampton,no,True,11.5,0,False,False,True,1,1
0,2,male,19.0,1,1,36.75,second,man,True,southampton,no,False,36.75,0,False,False,True,3,0
1,3,male,27.0,0,0,7.7958,third,man,True,southampton,yes,True,7.7958,0,False,False,True,1,1
0,3,female,9.0,2,2,34.375,third,child,False,southampton,no,False,34.375,1,False,False,True,5,0
0,2,male,36.5,0,2,26.0,second,man,True,southampton,no,False,26.0,0,False,False,True,3,0
0,2,male,42.0,0,0,13.0,second,man,True,southampton,no,True,13.0,0,False,False,True,1,1
0,2,male,51.0,0,0,12.525,second,man,True,southampton,no,True,12.525,0,False,False,True,1,1
1,1,female,22.0,1,0,66.6,first,woman,False,southampton,yes,False,65.6344,1,False,False,True,2,0
0,3,male,55.5,0,0,8.05,third,man,True,southampton,no,True,8.05,0,False,False,True,1,1
0,3,male,40.5,0,2,14.5,third,man,True,southampton,no,False,14.5,0,False,False,True,3,0
0,3,male,25.0,0,0,7.3125,third,man,True,southampton,no,True,7.3125,0,False,False,True,1,1
0,1,male,51.0,0,1,61.3792,first,man,True,cherbourg,no,False,61.3792,0,True,False,False,2,0
1,3,female,16.0,0,0,7.7333,third,woman,False,queenstown,yes,True,7.7333,1,False,True,False,1,1
0,3,male,30.0,0,0,8.05,third,man,True,southampton,no,True,8.05,0,False,False,True,1,1
0,3,male,25.0,0,0,8.6625,third,man,True,southampton,no,True,8.6625,0,False,False,True,1,1
0,3,male,25.0,8,2,69.55,third,man,True,southampton,no,False,65.6344,0,False,False,True,11,0
0,3,male,44.0,0,1,16.1,third,man,True,southampton,no,False,16.1,0,False,False,True,2,0
1,2,female,40.0,0,0,15.75,second,woman,False,southampton,yes,True,15.75,1,False,False,True,1,1
0,3,male,26.0,0,0,7.775,third,man,True,southampton,no,True,7.775,0,False,False,True,1,1
0,3,male,17.0,0,0,8.6625,third,man,True,southampton,no,True,8.6625,0,False,False,True,1,1
0,3,male,1.0,4,1,39.6875,third,child,False,southampton,no,False,39.6875,0,False,False,True,6,0
1,3,male,9.0,0,2,20.525,third,child,False,southampton,yes,False,20.525,0,False,False,True,3,0
1,1,female,35.0,0,1,55.0,first,woman,False,southampton,yes,False,55.0,1,False,False,True,2,0
0,3,female,45.0,1,4,27.9,third,woman,False,southampton,no,False,27.9,1,False,False,True,6,0
0,1,male,40.0,0,0,25.925,first,man,True,southampton,no,True,25.925,0,False,False,True,1,1
0,3,male,28.0,0,0,56.4958,third,man,True,southampton,no,True,56.4958,0,False,False,True,1,1
0,1,male,61.0,0,0,33.5,first,man,True,southampton,no,True,33.5,0,False,False,True,1,1
0,3,male,4.0,4,1,29.125,third,child,False,queenstown,no,False,29.125,0,False,True,False,6,0
1,3,female,1.0,1,1,11.1333,third,child,False,southampton,yes,False,11.1333,1,False,False,True,3,0
0,3,male,21.0,0,0,7.925,third,man,True,southampton,no,True,7.925,0,False,False,True,1,1
0,1,male,56.0,0,0,30.6958,first,man,True,cherbourg,no,True,30.6958,0,True,False,False,1,1
0,3,male,18.0,1,1,7.8542,third,man,True,southampton,no,False,7.8542,0,False,False,True,3,0
0,3,male,25.0,3,1,25.4667,third,man,True,southampton,no,False,25.4667,0,False,False,True,5,0
0,1,female,50.0,0,0,28.7125,first,woman,False,cherbourg,no,True,28.7125,1,True,False,False,1,1
0,2,male,30.0,0,0,13.0,second,man,True,southampton,no,True,13.0,0,False,False,True,1,1
0,3,male,36.0,0,0,0.0,third,man,True,southampton,no,True,0.0,0,False,False,True,1,1
0,3,female,21.5,8,2,69.55,third,woman,False,southampton,no,False,65.6344,1,False,False,True,11,0
0,2,male,30.0,0,0,15.05,second,man,True,cherbourg,no,True,15.05,0,True,False,False,1,1
0,3,male,9.0,4,2,31.3875,third,child,False,southampton,no,False,31.3875,0,False,False,True,7,0
1,2,male,1.0,2,1,39.0,second,child,False,southampton,yes,False,39.0,0,False,False,True,4,0
1,3,female,4.0,0,2,22.025,third,child,False,southampton,yes,False,22.025,1,False,False,True,3,0
0,1,male,40.0,0,0,50.0,first,man,True,southampton,no,True,50.0,0,False,False,True,1,1
1,3,female,21.5,1,0,15.5,third,woman,False,queenstown,yes,False,15.5,1,False,True,False,2,0
1,1,male,45.0,0,0,26.55,first,man,True,southampton,yes,True,26.55,0,False,False,True,1,1
0,3,male,40.0,1,1,15.5,third,man,True,queenstown,no,False,15.5,0,False,True,False,3,0
0,3,male,36.0,0,0,7.8958,third,man,True,southampton,no,True,7.8958,0,False,False,True,1,1
1,2,female,32.0,0,0,13.0,second,woman,False,southampton,yes,True,13.0,1,False,False,True,1,1
0,2,male,19.0,0,0,13.0,second,man,True,southampton,no,True,13.0,0,False,False,True,1,1
1,3,female,19.0,1,0,7.8542,third,woman,False,southampton,yes,False,7.8542,1,False,False,True,2,0
1,2,male,3.0,1,1,26.0,second,child,False,southampton,yes,False,26.0,0,False,False,True,3,0
1,1,female,44.0,0,0,27.7208,first,woman,False,cherbourg,yes,True,27.7208,1,True,False,False,1,1
1,1,female,58.0,0,0,146.5208,first,woman,False,cherbourg,yes,True,65.6344,1,True,False,False,1,1
0,3,male,25.0,0,0,7.75,third,man,True,queenstown,no,True,7.75,0,False,True,False,1,1
0,3,male,42.0,0,1,8.4042,third,man,True,southampton,no,False,8.4042,0,False,False,True,2,0
1,3,female,21.5,0,0,7.75,third,woman,False,queenstown,yes,True,7.75,1,False,True,False,1,1
0,2,female,24.0,0,0,13.0,second,woman,False,southampton,no,True,13.0,1,False,False,True,1,1
0,3,male,28.0,0,0,9.5,third,man,True,southampton,no,True,9.5,0,False,False,True,1,1
0,3,male,25.0,8,2,69.55,third,man,True,southampton,no,False,65.6344,0,False,False,True,11,0
0,3,male,34.0,0,0,6.4958,third,man,True,southampton,no,True,6.4958,0,False,False,True,1,1
0,3,male,45.5,0,0,7.225,third,man,True,cherbourg,no,True,7.225,0,True,False,False,1,1
1,3,male,18.0,0,0,8.05,third,man,True,southampton,yes,True,8.05,0,False,False,True,1,1
0,3,female,2.0,0,1,10.4625,third,child,False,southampton,no,False,10.4625,1,False,False,True,2,0
0,3,male,32.0,1,0,15.85,third,man,True,southampton,no,False,15.85,0,False,False,True,2,0
1,3,male,26.0,0,0,18.7875,third,man,True,cherbourg,yes,True,18.7875,0,True,False,False,1,1
1,3,female,16.0,0,0,7.75,third,woman,False,queenstown,yes,True,7.75,1,False,True,False,1,1
1,1,male,40.0,0,0,31.0,first,man,True,cherbourg,yes,True,31.0,0,True,False,False,1,1
0,3,male,24.0,0,0,7.05,third,man,True,southampton,no,True,7.05,0,False,False,True,1,1
1,2,female,35.0,0,0,21.0,second,woman,False,southampton,yes,True,21.0,1,False,False,True,1,1
0,3,male,22.0,0,0,7.25,third,man,True,southampton,no,True,7.25,0,False,False,True,1,1
0,2,male,30.0,0,0,13.0,second,man,True,southampton,no,True,13.0,0,False,False,True,1,1
0,3,male,25.0,1,0,7.75,third,man,True,queenstown,no,False,7.75,0,False,True,False,2,0
1,1,female,31.0,1,0,113.275,first,woman,False,cherbourg,yes,False,65.6344,1,True,False,False,2,0
1,3,female,27.0,0,0,7.925,third,woman,False,southampton,yes,True,7.925,1,False,False,True,1,1
0,2,male,42.0,1,0,27.0,second,man,True,southampton,no,False,27.0,0,False,False,True,2,0
1,1,female,32.0,0,0,76.2917,first,woman,False,cherbourg,yes,True,65.6344,1,True,False,False,1,1
0,2,male,30.0,0,0,10.5,second,man,True,southampton,no,True,10.5,0,False,False,True,1,1
1,3,male,16.0,0,0,8.05,third,man,True,southampton,yes,True,8.05,0,False,False,True,1,1
0,2,male,27.0,0,0,13.0,second,man,True,southampton,no,True,13.0,0,False,False,True,1,1
0,3,male,51.0,0,0,8.05,third,man,True,southampton,no,True,8.05,0,False,False,True,1,1
0,3,male,25.0,0,0,7.8958,third,man,True,southampton,no,True,7.8958,0,False,False,True,1,1
1,1,male,38.0,1,0,90.0,first,man,True,southampton,yes,False,65.6344,0,False,False,True,2,0
0,3,male,22.0,0,0,9.35,third,man,True,southampton,no,True,9.35,0,False,False,True,1,1
1,2,male,19.0,0,0,10.5,second,man,True,southampton,yes,True,10.5,0,False,False,True,1,1
0,3,male,20.5,0,0,7.25,third,man,True,southampton,no,True,7.25,0,False,False,True,1,1
0,2,male,18.0,0,0,13.0,second,man,True,southampton,no,True,13.0,0,False,False,True,1,1
0,3,female,21.5,3,1,25.4667,third,woman,False,southampton,no,False,25.4667,1,False,False,True,5,0
1,1,female,35.0,1,0,83.475,first,woman,False,southampton,yes,False,65.6344,1,False,False,True,2,0
0,3,male,29.0,0,0,7.775,third,man,True,southampton,no,True,7.775,0,False,False,True,1,1
0,2,male,59.0,0,0,13.5,second,man,True,southampton,no,True,13.5,0,False,False,True,1,1
1,3,female,5.0,4,2,31.3875,third,child,False,southampton,yes,False,31.3875,1,False,False,True,7,0
0,2,male,24.0,0,0,10.5,second,man,True,southampton,no,True,10.5,0,False,False,True,1,1
0,3,female,21.5,0,0,7.55,third,woman,False,southampton,no,True,7.55,1,False,False,True,1,1
0,2,male,44.0,1,0,26.0,second,man,True,southampton,no,False,26.0,0,False,False,True,2,0
1,2,female,8.0,0,2,26.25,second,child,False,southampton,yes,False,26.25,1,False,False,True,3,0
0,2,male,19.0,0,0,10.5,second,man,True,southampton,no,True,10.5,0,False,False,True,1,1
0,2,male,33.0,0,0,12.275,second,man,True,southampton,no,True,12.275,0,False,False,True,1,1
0,3,female,21.5,1,0,14.4542,third,woman,False,cherbourg,no,False,14.4542,1,True,False,False,2,0
1,3,female,21.5,1,0,15.5,third,woman,False,queenstown,yes,False,15.5,1,False,True,False,2,0
0,2,male,29.0,0,0,10.5,second,man,True,southampton,no,True,10.5,0,False,False,True,1,1
0,3,male,22.0,0,0,7.125,third,man,True,southampton,no,True,7.125,0,False,False,True,1,1
0,3,male,30.0,0,0,7.225,third,man,True,cherbourg,no,True,7.225,0,True,False,False,1,1
0,1,male,44.0,2,0,90.0,first,man,True,queenstown,no,False,65.6344,0,False,True,False,3,0
0,3,female,25.0,0,0,7.775,third,woman,False,southampton,no,True,7.775,1,False,False,True,1,1
1,2,female,24.0,0,2,14.5,second,woman,False,southampton,yes,False,14.5,1,False,False,True,3,0
1,1,male,37.0,1,1,52.5542,first,man,True,southampton,yes,False,52.5542,0,False,False,True,3,0
0,2,male,54.0,1,0,26.0,second,man,True,southampton,no,False,26.0,0,False,False,True,2,0
0,3,male,25.0,0,0,7.25,third,man,True,southampton,no,True,7.25,0,False,False,True,1,1
0,3,female,29.0,1,1,10.4625,third,woman,False,southampton,no,False,10.4625,1,False,False,True,3,0
0,1,male,62.0,0,0,26.55,first,man,True,southampton,no,True,26.55,0,False,False,True,1,1
0,3,male,30.0,1,0,16.1,third,man,True,southampton,no,False,16.1,0,False,False,True,2,0
0,3,female,41.0,0,2,20.2125,third,woman,False,southampton,no,False,20.2125,1,False,False,True,3,0
1,3,female,29.0,0,2,15.2458,third,woman,False,cherbourg,yes,False,15.2458,1,True,False,False,3,0
1,1,female,35.0,0,0,79.2,first,woman,False,cherbourg,yes,True,65.6344,1,True,False,False,1,1
1,1,female,30.0,0,0,86.5,first,woman,False,southampton,yes,True,65.6344,1,False,False,True,1,1
1,1,female,35.0,0,0,512.3292,first,woman,False,cherbourg,yes,True,65.6344,1,True,False,False,1,1
1,2,female,50.0,0,1,26.0,second,woman,False,southampton,yes,False,26.0,1,False,False,True,2,0
0,3,male,25.0,0,0,7.75,third,man,True,queenstown,no,True,7.75,0,False,True,False,1,1
1,3,male,3.0,4,2,31.3875,third,child,False,southampton,yes,False,31.3875,0,False,False,True,7,0
0,1,male,52.0,1,1,79.65,first,man,True,southampton,no,False,65.6344,0,False,False,True,3,0
0,1,male,40.0,0,0,0.0,first,man,True,southampton,no,True,0.0,0,False,False,True,1,1
0,3,female,21.5,0,0,7.75,third,woman,False,queenstown,no,True,7.75,1,False,True,False,1,1
0,2,male,36.0,0,0,10.5,second,man,True,southampton,no,True,10.5,0,False,False,True,1,1
0,3,male,16.0,4,1,39.6875,third,man,True,southampton,no,False,39.6875,0,False,False,True,6,0
1,3,male,25.0,1,0,7.775,third,man,True,southampton,yes,False,7.775,0,False,False,True,2,0
1,1,female,58.0,0,1,153.4625,first,woman,False,southampton,yes,False,65.6344,1,False,False,True,2,0
1,1,female,35.0,0,0,135.6333,first,woman,False,southampton,yes,True,65.6344,1,False,False,True,1,1
0,1,male,40.0,0,0,31.0,first,man,True,southampton,no,True,31.0,0,False,False,True,1,1
1,3,male,25.0,0,0,0.0,third,man,True,southampton,yes,True,0.0,0,False,False,True,1,1
1,2,female,41.0,0,1,19.5,second,woman,False,southampton,yes,False,19.5,1,False,False,True,2,0
0,1,male,37.0,0,1,29.7,first,man,True,cherbourg,no,False,29.7,0,True,False,False,2,0
1,3,female,21.5,0,0,7.75,third,woman,False,queenstown,yes,True,7.75,1,False,True,False,1,1
1,1,female,63.0,1,0,77.9583,first,woman,False,southampton,yes,False,65.6344,1,False,False,True,2,0
0,3,female,45.0,0,0,7.75,third,woman,False,southampton,no,True,7.75,1,False,False,True,1,1
